Transaction_ID,Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Region,Customer_Segment
TXN-1000,2026-01-05,Apparel,Cotton T-Shirt,4,20.0,80.0,Net Banking,East,Home Office
TXN-1001,2026-03-25,Home & Kitchen,Coffee Maker,1,135.0,135.0,Credit Card,North,Consumer
TXN-1002,2026-05-27,Electronics,USB-C Hub,2,25.5,51.0,Credit Card,West,Consumer
TXN-1003,2026-02-06,Office Supplies,Gel Pens 12-Pack,2,15.0,30.0,Net Banking,North,Consumer
TXN-1004,2026-05-07,Apparel,Sports Socks,3,12.5,37.5,UPI,North,Corporate
TXN-1005,2026-02-15,Home & Kitchen,Air Fryer,1,110.0,110.0,Credit Card,West,Corporate
TXN-1006,2026-01-31,Office Supplies,Standing Desk,4,399.99,1599.96,Credit Card,East,Consumer
TXN-1007,2026-03-21,Home & Kitchen,Blender Pro,1,79.0,79.0,UPI,West,Consumer
TXN-1008,2026-05-12,Office Supplies,Whiteboard 4x3,1,45.0,45.0,UPI,West,Consumer
TXN-1009,2026-04-26,Apparel,Running Shoes,3,110.0,330.0,Net Banking,West,Consumer
TXN-1010,2026-04-18,Home & Kitchen,Knife Set,3,65.0,195.0,Debit Card,West,Home Office
TXN-1011,2026-02-01,Home & Kitchen,Air Fryer,1,110.0,110.0,Net Banking,South,Corporate
TXN-1012,2026-03-01,Electronics,Mechanical Keyboard,1,120.0,120.0,PayPal,South,Corporate
TXN-1013,2026-04-19,Home & Kitchen,Coffee Maker,2,135.0,270.0,Credit Card,North,Corporate
TXN-1014,2026-05-13,Apparel,Running Shoes,5,110.0,550.0,Credit Card,West,Home Office
TXN-1015,2026-04-25,Electronics,Wireless Headphones,5,89.99,449.95,Net Banking,East,Corporate
TXN-1016,2026-04-20,Home & Kitchen,Blender Pro,1,79.0,79.0,PayPal,West,Consumer
TXN-1017,2026-05-29,Electronics,4K Monitor,3,299.99,899.97,Debit Card,East,Home Office
TXN-1018,2026-04-17,Electronics,4K Monitor,3,299.99,899.97,Net Banking,North,Home Office
TXN-1019,2026-03-21,Office Supplies,Standing Desk,2,399.99,799.98,UPI,North,Corporate
TXN-1020,2026-03-07,Apparel,Sports Socks,4,12.5,50.0,Debit Card,East,Consumer
TXN-1021,2026-05-05,Office Supplies,Gel Pens 12-Pack,3,15.0,45.0,PayPal,West,Home Office
TXN-1022,2026-02-25,Home & Kitchen,Blender Pro,3,79.0,237.0,Debit Card,West,Consumer
TXN-1023,2026-03-28,Home & Kitchen,Knife Set,2,65.0,130.0,Credit Card,East,Consumer
TXN-1024,2026-04-24,Electronics,Wireless Headphones,4,89.99,359.96,Debit Card,South,Consumer
TXN-1025,2026-01-22,Apparel,Cotton T-Shirt,3,20.0,60.0,PayPal,East,Home Office
TXN-1026,2026-05-31,Electronics,4K Monitor,4,299.99,1199.96,Net Banking,North,Corporate
TXN-1027,2026-02-27,Office Supplies,Whiteboard 4x3,2,45.0,90.0,Debit Card,South,Home Office
TXN-1028,2026-05-26,Office Supplies,Standing Desk,3,399.99,1199.97,Credit Card,West,Consumer
TXN-1029,2026-01-29,Electronics,Wireless Headphones,4,89.99,359.96,Credit Card,South,Consumer
TXN-1030,2026-03-14,Electronics,4K Monitor,4,299.99,1199.96,Debit Card,South,Corporate
TXN-1031,2026-04-08,Electronics,Mechanical Keyboard,5,120.0,600.0,UPI,West,Home Office
TXN-1032,2026-02-04,Home & Kitchen,Air Fryer,5,110.0,550.0,PayPal,North,Home Office
TXN-1033,2026-02-24,Apparel,Running Shoes,3,110.0,330.0,Credit Card,South,Home Office
TXN-1034,2026-03-09,Office Supplies,Standing Desk,1,399.99,399.99,UPI,South,Corporate
TXN-1035,2026-05-23,Home & Kitchen,Coffee Maker,3,135.0,405.0,Net Banking,West,Corporate
TXN-1036,2026-04-19,Office Supplies,Standing Desk,3,399.99,1199.97,Credit Card,South,Corporate
TXN-1037,2026-03-26,Apparel,Sports Socks,1,12.5,12.5,PayPal,South,Home Office
TXN-1038,2026-05-30,Electronics,4K Monitor,3,299.99,899.97,Net Banking,South,Corporate
TXN-1039,2026-01-08,Apparel,Sports Socks,1,12.5,12.5,Credit Card,West,Consumer
TXN-1040,2026-05-18,Apparel,Cotton T-Shirt,5,20.0,100.0,Net Banking,South,Home Office
TXN-1041,2026-01-21,Apparel,Cotton T-Shirt,3,20.0,60.0,Credit Card,South,Home Office
TXN-1042,2026-05-02,Office Supplies,Whiteboard 4x3,3,45.0,135.0,Debit Card,North,Consumer
TXN-1043,2026-01-23,Electronics,Mechanical Keyboard,2,120.0,240.0,Debit Card,South,Home Office
TXN-1044,2026-04-09,Apparel,Sports Socks,1,12.5,12.5,UPI,West,Home Office
TXN-1045,2026-04-02,Apparel,Waterproof Jacket,5,150.0,750.0,UPI,East,Consumer
TXN-1046,2026-03-20,Electronics,Wireless Headphones,2,89.99,179.98,UPI,East,Home Office
TXN-1047,2026-04-25,Electronics,USB-C Hub,3,25.5,76.5,UPI,East,Consumer
TXN-1048,2026-02-26,Apparel,Running Shoes,1,110.0,110.0,Credit Card,North,Consumer
TXN-1049,2026-03-20,Home & Kitchen,Blender Pro,4,79.0,316.0,Debit Card,West,Corporate
TXN-1050,2026-02-17,Office Supplies,Gel Pens 12-Pack,1,15.0,15.0,PayPal,North,Corporate
TXN-1051,2026-03-21,Electronics,Mechanical Keyboard,1,120.0,120.0,Credit Card,North,Corporate
TXN-1052,2026-03-23,Electronics,Mechanical Keyboard,1,120.0,120.0,UPI,South,Corporate
TXN-1053,2026-01-09,Office Supplies,Gel Pens 12-Pack,1,15.0,15.0,UPI,West,Corporate
TXN-1054,2026-02-15,Office Supplies,Gel Pens 12-Pack,3,15.0,45.0,Net Banking,East,Corporate
TXN-1055,2026-03-23,Home & Kitchen,Coffee Maker,2,135.0,270.0,Net Banking,North,Consumer
TXN-1056,2026-03-15,Home & Kitchen,Knife Set,4,65.0,260.0,Credit Card,North,Corporate
TXN-1057,2026-01-02,Electronics,4K Monitor,1,299.99,299.99,PayPal,South,Corporate
TXN-1058,2026-04-22,Apparel,Waterproof Jacket,5,150.0,750.0,Debit Card,East,Home Office
TXN-1059,2026-03-24,Electronics,Mechanical Keyboard,5,120.0,600.0,Credit Card,West,Corporate
TXN-1060,2026-01-22,Office Supplies,Gel Pens 12-Pack,4,15.0,60.0,UPI,South,Corporate
TXN-1061,2026-01-20,Electronics,Mechanical Keyboard,1,120.0,120.0,Net Banking,North,Consumer
TXN-1062,2026-04-26,Home & Kitchen,Air Fryer,4,110.0,440.0,PayPal,South,Corporate
TXN-1063,2026-04-06,Electronics,Wireless Headphones,5,89.99,449.95,Net Banking,East,Home Office
TXN-1064,2026-01-31,Apparel,Waterproof Jacket,2,150.0,300.0,Credit Card,North,Home Office
TXN-1065,2026-03-05,Apparel,Running Shoes,3,110.0,330.0,Credit Card,South,Corporate
TXN-1066,2026-03-17,Home & Kitchen,Knife Set,2,65.0,130.0,Credit Card,North,Corporate
TXN-1067,2026-05-18,Home & Kitchen,Blender Pro,2,79.0,158.0,PayPal,East,Home Office
TXN-1068,2026-03-01,Home & Kitchen,Knife Set,2,65.0,130.0,UPI,South,Home Office
TXN-1069,2026-04-27,Home & Kitchen,Air Fryer,4,110.0,440.0,Net Banking,West,Consumer
TXN-1070,2026-02-19,Electronics,Mechanical Keyboard,3,120.0,360.0,PayPal,West,Consumer
TXN-1071,2026-02-19,Home & Kitchen,Air Fryer,5,110.0,550.0,PayPal,West,Home Office
TXN-1072,2026-03-19,Electronics,Wireless Headphones,5,89.99,449.95,Credit Card,West,Corporate
TXN-1073,2026-04-13,Home & Kitchen,Blender Pro,4,79.0,316.0,Credit Card,West,Corporate
TXN-1074,2026-01-22,Home & Kitchen,Air Fryer,2,110.0,220.0,Debit Card,South,Home Office
TXN-1075,2026-04-05,Electronics,Wireless Headphones,4,89.99,359.96,PayPal,East,Home Office
TXN-1076,2026-05-29,Apparel,Cotton T-Shirt,1,20.0,20.0,PayPal,South,Home Office
TXN-1077,2026-02-09,Apparel,Waterproof Jacket,1,150.0,150.0,UPI,North,Home Office
TXN-1078,2026-03-10,Office Supplies,Gel Pens 12-Pack,2,15.0,30.0,Net Banking,North,Consumer
TXN-1079,2026-03-05,Electronics,USB-C Hub,2,25.5,51.0,Debit Card,West,Home Office
TXN-1080,2026-04-07,Electronics,Mechanical Keyboard,5,120.0,600.0,Debit Card,West,Consumer
TXN-1081,2026-05-02,Apparel,Cotton T-Shirt,3,20.0,60.0,Net Banking,South,Corporate
TXN-1082,2026-01-16,Apparel,Running Shoes,3,110.0,330.0,UPI,North,Consumer
TXN-1083,2026-04-06,Apparel,Running Shoes,5,110.0,550.0,UPI,East,Consumer
TXN-1084,2026-02-23,Apparel,Sports Socks,3,12.5,37.5,Net Banking,South,Home Office
TXN-1085,2026-01-08,Electronics,Wireless Headphones,3,89.99,269.97,Debit Card,North,Home Office
TXN-1086,2026-02-03,Office Supplies,Standing Desk,4,399.99,1599.96,UPI,West,Corporate
TXN-1087,2026-05-17,Home & Kitchen,Blender Pro,1,79.0,79.0,PayPal,North,Corporate
TXN-1088,2026-01-20,Electronics,Mechanical Keyboard,4,120.0,480.0,Debit Card,East,Home Office
TXN-1089,2026-04-23,Electronics,Mechanical Keyboard,5,120.0,600.0,Net Banking,North,Home Office
TXN-1090,2026-04-16,Office Supplies,Standing Desk,2,399.99,799.98,PayPal,West,Home Office
TXN-1091,2026-05-22,Office Supplies,Whiteboard 4x3,2,45.0,90.0,Debit Card,East,Corporate
TXN-1092,2026-05-21,Office Supplies,Ergonomic Chair,3,249.5,748.5,UPI,East,Home Office
TXN-1093,2026-03-08,Home & Kitchen,Knife Set,5,65.0,325.0,Debit Card,West,Corporate
TXN-1094,2026-05-12,Electronics,Mechanical Keyboard,2,120.0,240.0,Credit Card,West,Home Office
TXN-1095,2026-02-19,Home & Kitchen,Knife Set,1,65.0,65.0,Net Banking,East,Corporate
TXN-1096,2026-04-26,Office Supplies,Standing Desk,5,399.99,1999.95,Credit Card,South,Home Office
TXN-1097,2026-01-03,Electronics,4K Monitor,3,299.99,899.97,Debit Card,South,Corporate
TXN-1098,2026-05-01,Home & Kitchen,Coffee Maker,5,135.0,675.0,Credit Card,East,Home Office
TXN-1099,2026-04-10,Electronics,Mechanical Keyboard,2,120.0,240.0,UPI,East,Home Office
